Month,Inflation
Jan-2009,7.1
Feb-2009,7.2
Mar-2009,6.6
Apr-2009,5.6
May-2009,4.3
Jun-2009,3.2
Jul-2009,2.2
Aug-2009,1.7
Sep-2009,2.3
Oct-2009,2.9
Nov-2009,3.5
Dec-2009,4.4
Jan-2010,3.9
Feb-2010,3.9
Mar-2010,3.9
Apr-2010,4.0
May-2010,3.9
Jun-2010,3.6
Jul-2010,3.7
Aug-2010,4.1
Sep-2010,3.8
Oct-2010,3.2
Nov-2010,3.7
Dec-2010,3.6
Jan-2011,4.0
Feb-2011,4.7
Mar-2011,4.9
Apr-2011,4.7
May-2011,4.9
Jun-2011,5.2
Jul-2011,4.9
Aug-2011,4.6
Sep-2011,4.7
Oct-2011,5.2
Nov-2011,4.7
Dec-2011,4.2
Jan-2012,4.1
Feb-2012,3.0
Mar-2012,2.9
Apr-2012,3.2
May-2012,2.9
Jun-2012,2.7
Jul-2012,3.1
Aug-2012,3.7
Sep-2012,3.6
Oct-2012,3.2
Nov-2012,2.8
Dec-2012,2.9
Jan-2013,2.8
Feb-2013,2.9
Mar-2013,2.7
Apr-2013,2.2
May-2013,2.3
Jun-2013,2.5
Jul-2013,2.4
Aug-2013,1.8
Sep-2013,2.3
Oct-2013,2.4
Nov-2013,2.9
Dec-2013,3.8
Jan-2014,3.7
Feb-2014,3.6
Mar-2014,3.5
Apr-2014,3.6
May-2014,4.0
Jun-2014,3.8
Jul-2014,4.2
Aug-2014,4.2
Sep-2014,3.9
Oct-2014,3.7
Nov-2014,3.0
Dec-2014,1.9
Jan-2015,1.5
Feb-2015,1.5
Mar-2015,1.5
Apr-2015,1.4
May-2015,0.9
Jun-2015,0.6
Jul-2015,0.2
Aug-2015,0.0
Sep-2015,-0.4
Oct-2015,-0.2
Nov-2015,0.3
Dec-2015,0.7
Jan-2016,0.7
Feb-2016,0.5
Mar-2016,0.6
Apr-2016,0.7
May-2016,0.9
Jun-2016,1.3
Jul-2016,1.3
Aug-2016,1.3
Sep-2016,1.7
Oct-2016,1.8
Nov-2016,2.1
Dec-2016,2.2
Jan-2017,2.5
Feb-2017,3.1
Mar-2017,3.1
Apr-2017,3.2
May-2017,2.9
Jun-2017,2.5
Jul-2017,2.4
Aug-2017,2.6
Sep-2017,3.0
Oct-2017,3.1
Nov-2017,3.0
Dec-2017,2.9
Jan-2018,3.4
Feb-2018,3.7
Mar-2018,4.3
Apr-2018,4.3
May-2018,4.6
Jun-2018,5.0
Jul-2018,5.8
Aug-2018,6.6
Sep-2018,6.9
Oct-2018,6.9
Nov-2018,6.1
Dec-2018,5.2
Jan-2019,4.4
Feb-2019,3.8
Mar-2019,3.4
Apr-2019,3.2
May-2019,3.2
Jun-2019,2.7
Jul-2019,2.2
Aug-2019,1.4
Sep-2019,0.5
Oct-2019,0.6
Nov-2019,1.2
Dec-2019,2.4
Jan-2020,3.0
Feb-2020,2.5
Mar-2020,2.2
Apr-2020,1.8
May-2020,1.6
Jun-2020,2.3
Jul-2020,2.4
Aug-2020,2.2
Sep-2020,2.2
Oct-2020,2.3
Nov-2020,3.0
Dec-2020,3.3
Jan-2021,3.7
Feb-2021,4.2
Mar-2021,4.1
Apr-2021,4.1
May-2021,4.1
Jun-2021,3.7
Jul-2021,3.7
Aug-2021,4.4
Sep-2021,4.2
Oct-2021,4.0
Nov-2021,4.2
Dec-2021,3.1
Jan-2022,3.0
Feb-2022,3.0
Mar-2022,4.0
Apr-2022,4.9
May-2022,5.4
Jun-2022,6.1
Jul-2022,6.4
Aug-2022,6.3
Sep-2022,6.9
